stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
LA,Louisiana,West Baton Rouge,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.2,78.9
ME,Maine,Somerset,MHLTH,Frequent mental distress among adults,Health Status,22.1,21.0
KY,Kentucky,Hopkins,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.6,42.3
LA,Louisiana,Evangeline,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.7,62.5
KY,Kentucky,McCreary,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.4,42.3
KY,Kentucky,Madison,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.6,42.3
LA,Louisiana,Concordia,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.8,42.3
LA,Louisiana,Acadia,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.3,14.2
LA,Louisiana,St. Mary,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.4,42.3
LA,Louisiana,Caldwell,CHD,Coronary heart disease among adults,Health Outcomes,7.7,7.0
LA,Louisiana,Evangeline,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.4,13.4
LA,Louisiana,Webster,OBESITY,Obesity among adults,Health Outcomes,44.7,43.0
MD,Maryland,Charles,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.9,78.9
LA,Louisiana,Franklin,MHLTH,Frequent mental distress among adults,Health Status,22.8,21.0
LA,Louisiana,West Baton Rouge,BPHIGH,High blood pressure among adults,Health Outcomes,40.1,39.8
LA,Louisiana,St. Landry,MOBILITY,Mobility disability among adults,Disability,20.3,17.75
LA,Louisiana,Morehouse,GHLTH,Fair or poor self-rated health status among adults,Health Status,31.4,26.9
LA,Louisiana,Jackson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.8,24.0
LA,Louisiana,Allen,MHLTH,Frequent mental distress among adults,Health Status,21.2,21.0
LA,Louisiana,Catahoula,DISABILITY,Any disability among adults,Disability,43.0,39.4
MA,Massachusetts,Norfolk,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.9,67.4
LA,Louisiana,Claiborne,VISION,Vision disability among adults,Disability,10.9,7.6
LA,Louisiana,Lincoln,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.1,14.2
LA,Louisiana,Union,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.5,13.4
MI,Michigan,Clare,CASTHMA,Current asthma among adults,Health Outcomes,12.3,11.8
LA,Louisiana,Assumption,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,20.9,20.8
LA,Louisiana,De Soto,INDEPLIVE,Independent living disability among adults,Disability,11.8,11.6
LA,Louisiana,St. Bernard,CHD,Coronary heart disease among adults,Health Outcomes,7.0,7.0
LA,Louisiana,Red River,PHLTH,Frequent physical distress among adults,Health Status,17.6,16.4
LA,Louisiana,Claiborne,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,26.6,20.8
LA,Louisiana,St. Bernard,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.2,29.0
MD,Maryland,Talbot,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.9,85.9
LA,Louisiana,St. James,BPHIGH,High blood pressure among adults,Health Outcomes,40.3,39.8
MA,Massachusetts,Plymouth,CASTHMA,Current asthma among adults,Health Outcomes,12.1,11.8
MD,Maryland,Worcester,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.4,63.1
LA,Louisiana,Sabine,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.4,78.9
MA,Massachusetts,Nantucket,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,82.1,78.6
LA,Louisiana,Catahoula,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,22.8,20.8
LA,Louisiana,Concordia,PHLTH,Frequent physical distress among adults,Health Status,17.8,16.4
LA,Louisiana,Avoyelles,MHLTH,Frequent mental distress among adults,Health Status,23.1,21.0
KY,Kentucky,Allen,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,31.3,24.0
LA,Louisiana,Evangeline,OBESITY,Obesity among adults,Health Outcomes,44.9,43.0
LA,Louisiana,Avoyelles,BPHIGH,High blood pressure among adults,Health Outcomes,44.1,39.8
KY,Kentucky,Johnson,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.9,42.3
ME,Maine,Kennebec,DEPRESSION,Depression among adults,Health Outcomes,29.6,28.4
ME,Maine,Washington,CASTHMA,Current asthma among adults,Health Outcomes,13.5,11.8
LA,Louisiana,Avoyelles,VISION,Vision disability among adults,Disability,8.6,7.6
MD,Maryland,Charles,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.2,78.6
MA,Massachusetts,Hampshire,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.8,78.9
KY,Kentucky,Fleming,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.3,42.3
LA,Louisiana,Natchitoches,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,20.9,20.2
LA,Louisiana,Natchitoches,STROKE,Stroke among adults,Health Outcomes,4.3,4.1
LA,Louisiana,Bienville,CHD,Coronary heart disease among adults,Health Outcomes,8.0,7.0
LA,Louisiana,Caldwell,ARTHRITIS,Arthritis among adults,Health Outcomes,28.9,28.0
LA,Louisiana,Catahoula,MOBILITY,Mobility disability among adults,Disability,19.4,17.75
LA,Louisiana,Washington,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.4,62.5
LA,Louisiana,Franklin,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.7,78.9
LA,Louisiana,St. Bernard,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.1,62.5
LA,Louisiana,Lincoln,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
LA,Louisiana,St. Mary,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,25.4,22.1
LA,Louisiana,Washington,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,22.2,20.8
KY,Kentucky,Pulaski,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.6,24.0
LA,Louisiana,Assumption,DISABILITY,Any disability among adults,Disability,40.5,39.4
LA,Louisiana,Webster,DEPRESSION,Depression among adults,Health Outcomes,28.9,28.4
LA,Louisiana,Grant,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.5,29.0
MA,Massachusetts,Worcester,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.3,67.4
LA,Louisiana,East Carroll,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,43.5,24.0
ME,Maine,Lincoln,CASTHMA,Current asthma among adults,Health Outcomes,12.4,11.8
LA,Louisiana,Lafourche,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.2,29.0
LA,Louisiana,Natchitoches,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.0,78.9
LA,Louisiana,Caldwell,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.3,34.3
MA,Massachusetts,Nantucket,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.6,78.9
MD,Maryland,Frederick,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
LA,Louisiana,East Carroll,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,67.1,62.5
LA,Louisiana,Avoyelles,INDEPLIVE,Independent living disability among adults,Disability,13.4,11.6
LA,Louisiana,Orleans,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.4,14.2
LA,Louisiana,Beauregard,DEPRESSION,Depression among adults,Health Outcomes,29.5,28.4
LA,Louisiana,Orleans,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.0,38.1
LA,Louisiana,Morehouse,PHLTH,Frequent physical distress among adults,Health Status,17.5,16.4
KY,Kentucky,Knox,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,36.1,24.0
LA,Louisiana,Tensas,GHLTH,Fair or poor self-rated health status among adults,Health Status,33.2,26.9
LA,Louisiana,Evangeline,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.0,14.2
MI,Michigan,Alpena,DEPRESSION,Depression among adults,Health Outcomes,30.2,28.4
LA,Louisiana,Red River,MHLTH,Frequent mental distress among adults,Health Status,22.8,21.0
LA,Louisiana,Jackson,CHD,Coronary heart disease among adults,Health Outcomes,7.2,7.0
LA,Louisiana,St. Mary,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.0,24.0
LA,Louisiana,St. Bernard,SELFCARE,Self-care disability among adults,Disability,5.4,5.4
KY,Kentucky,Lee,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,37.6,24.0
LA,Louisiana,Iberia,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
LA,Louisiana,Orleans,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.8,63.1
LA,Louisiana,Iberia,COGNITION,Cognitive disability among adults,Disability,21.4,20.4
LA,Louisiana,Morehouse,MHLTH,Frequent mental distress among adults,Health Status,22.6,21.0
LA,Louisiana,Caldwell,PHLTH,Frequent physical distress among adults,Health Status,17.1,16.4
KY,Kentucky,Fulton,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,33.0,24.0
LA,Louisiana,Washington,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,25.8,22.1
LA,Louisiana,Sabine,ARTHRITIS,Arthritis among adults,Health Outcomes,28.9,28.0
MD,Maryland,Queen Anne's,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
ME,Maine,Hancock,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,78.9,78.9
LA,Louisiana,Franklin,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,21.7,20.2
LA,Louisiana,East Carroll,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,44.1,34.3
LA,Louisiana,Lafourche,OBESITY,Obesity among adults,Health Outcomes,47.2,43.0
LA,Louisiana,St. John the Baptist,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.7,29.0
LA,Louisiana,Webster,COGNITION,Cognitive disability among adults,Disability,22.8,20.4
LA,Louisiana,Assumption,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.8,38.1
LA,Louisiana,Union,MOBILITY,Mobility disability among adults,Disability,17.9,17.75
LA,Louisiana,East Carroll,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,46.6,22.1
LA,Louisiana,Sabine,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.3,34.3
LA,Louisiana,Acadia,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.0,62.5
KS,Kansas,Wyandotte,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.6,34.3
LA,Louisiana,St. Landry,INDEPLIVE,Independent living disability among adults,Disability,13.3,11.6
LA,Louisiana,Tensas,STROKE,Stroke among adults,Health Outcomes,5.4,4.1
MD,Maryland,Garrett,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
LA,Louisiana,St. Bernard,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,23.0,22.1
LA,Louisiana,Claiborne,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,39.4,22.1
LA,Louisiana,Morehouse,COGNITION,Cognitive disability among adults,Disability,22.9,20.4
LA,Louisiana,Allen,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
MD,Maryland,Prince George's,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.7,85.9
LA,Louisiana,St. Mary,VISION,Vision disability among adults,Disability,7.8,7.6
LA,Louisiana,Caldwell,BPHIGH,High blood pressure among adults,Health Outcomes,41.0,39.8
LA,Louisiana,St. Landry,MHLTH,Frequent mental distress among adults,Health Status,22.5,21.0
LA,Louisiana,Jackson,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.3,29.0
LA,Louisiana,Red River,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,18.5,14.3
LA,Louisiana,St. John the Baptist,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,65.5,62.5
MD,Maryland,Worcester,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.6,85.9
LA,Louisiana,Allen,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.4,34.3
ME,Maine,Penobscot,CASTHMA,Current asthma among adults,Health Outcomes,13.4,11.8
LA,Louisiana,Concordia,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,33.7,26.2
LA,Louisiana,St. John the Baptist,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.9,42.3
LA,Louisiana,Avoyelles,DEPRESSION,Depression among adults,Health Outcomes,28.9,28.4
LA,Louisiana,St. Helena,INDEPLIVE,Independent living disability among adults,Disability,13.2,11.6
LA,Louisiana,Concordia,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,19.5,14.3
LA,Louisiana,Tensas,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.7,9.1
LA,Louisiana,Lafayette,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.1,85.9
LA,Louisiana,St. Mary,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.8,29.0
MA,Massachusetts,Barnstable,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.0,78.9
LA,Louisiana,Grant,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.6,42.3
LA,Louisiana,Caldwell,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.3,26.9
LA,Louisiana,Rapides,DISABILITY,Any disability among adults,Disability,39.7,39.4
LA,Louisiana,Natchitoches,DISABILITY,Any disability among adults,Disability,39.4,39.4
ME,Maine,Franklin,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.7,63.1
ME,Maine,Waldo,DEPRESSION,Depression among adults,Health Outcomes,30.4,28.4
KY,Kentucky,Whitley,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.0,42.3
LA,Louisiana,Evangeline,INDEPLIVE,Independent living disability among adults,Disability,12.7,11.6
LA,Louisiana,Jackson,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
LA,Louisiana,St. Mary,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.7,20.8
LA,Louisiana,Rapides,ARTHRITIS,Arthritis among adults,Health Outcomes,28.7,28.0
LA,Louisiana,East Carroll,VISION,Vision disability among adults,Disability,13.1,7.6
LA,Louisiana,Sabine,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
MI,Michigan,Allegan,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.4,63.1
LA,Louisiana,Allen,BPHIGH,High blood pressure among adults,Health Outcomes,42.3,39.8
LA,Louisiana,St. John the Baptist,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.5,13.4
LA,Louisiana,Caddo,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.0,13.4
LA,Louisiana,Avoyelles,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.6,24.0
MA,Massachusetts,Plymouth,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.5,78.9
MA,Massachusetts,Hampshire,CASTHMA,Current asthma among adults,Health Outcomes,12.1,11.8
LA,Louisiana,Morehouse,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,20.6,14.3
LA,Louisiana,Pointe Coupee,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.4,78.9
LA,Louisiana,Washington,SELFCARE,Self-care disability among adults,Disability,5.7,5.4
LA,Louisiana,Concordia,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,24.4,20.2
LA,Louisiana,Tensas,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,39.8,34.3
LA,Louisiana,Rapides,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.5,62.5
MD,Maryland,Kent,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.9,85.9
LA,Louisiana,Orleans,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.2,85.9
LA,Louisiana,Claiborne,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,66.9,62.5
LA,Louisiana,East Baton Rouge,BPHIGH,High blood pressure among adults,Health Outcomes,40.3,39.8
LA,Louisiana,Vernon,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.5,78.9
LA,Louisiana,Caddo,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
LA,Louisiana,St. Helena,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.3,34.3
LA,Louisiana,Concordia,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.0,29.0
LA,Louisiana,Caldwell,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.0,26.2
LA,Louisiana,Washington,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.7,29.0
LA,Louisiana,Franklin,ARTHRITIS,Arthritis among adults,Health Outcomes,29.3,28.0
LA,Louisiana,Jackson,SELFCARE,Self-care disability among adults,Disability,5.5,5.4
LA,Louisiana,Allen,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.7,26.2
LA,Louisiana,St. John the Baptist,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,22.5,22.1
LA,Louisiana,St. Helena,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
